Entreprise|||Lien|||Contact|||Localisation|||Ville|||Collège|||Activités
3X Engineering|||http://www.3xeng.com/|||sbda@3xeng.com|||not provided|||Monaco|||PME|||Ressources énergétiques et minières marines
A CORROS|||http://www.a-corros.fr|||jbmemet@a-corros.fr|||Provence-Alpes-Côte d'Azur|||Arles|||PME|||Naval et nautisme---Ressources énergétiques et minières marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
A2V|||http://www.aavessels.com|||thierry.oneill@aavessels.com|||Pays de la Loire|||La Rochelle|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme
AA'ROK (TURGIS & GAILLARD)|||http://www.turgisetgaillard.fr/|||contact@turgisetgaillard.fr|||not provided|||Neuilly-sur-Seine|||not provided|||Naval et nautisme---Ports, logistique et transports maritimes
ABYSS CAD|||http://www.abysscad.com|||contat@abysscad.com|||Provence-Alpes-Côte d'Azur|||Pertuis|||PME|||Ressources énergétiques et minières marines
ACE Management|||http://www.acemanagement.fr|||gd@acemanagement.fr|||Ile-de-France|||Paris|||Ecosystème|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral
ACQUA ECO|||https://acqua.eco/|||r.salza@acqua.eco|||not provided|||Lunel|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
ACRI IN|||http://www.acri-in.fr|||prb@acri.fr|||Provence-Alpes-Côte d'Azur|||Sophia-Antipolis|||PME|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines
Actis Innovation|||http://www.actis-innovation.com|||thierry.semionoff-bru@actis-innovation.com|||Provence-Alpes-Côte d'Azur|||Bandol|||PME|||Défense, Sécurité et sûreté maritimes---Environnement et valorisation du littoral
AD'OCC|||https://www.agence-adocc.com/|||not provided|||not provided|||Toulouse---Montpellier|||not provided|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
ADER Méditerranée|||https://www.ader-mediterranee.com/|||a.buiguez@ader-mediterranee.com|||Provence-Alpes-Côte d'Azur|||Marseille|||Ecosystème|||Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral
ADINVEST INTERNATIONAL|||https://www.adinvest-international.eu|||contact@adinvest-international.eu|||Ile-de-France|||Paris|||Ecosystème|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Environnement et valorisation du littoral
AEROFLEX|||https://www.aeroflex.com/|||not provided|||not provided|||Fos-sur-Mer|||not provided|||Naval et nautisme---Ports, logistique et transports maritimes
AFPA Béziers|||https://www.afpa.fr/|||not provided|||Languedoc-Roussillon-Midi-Pyrénées|||Béziers|||Centre de recherche et de formation|||Ressources énergétiques et minières marines---Ports, logistique et transports maritimes
AFPA PACA|||http://www.afpa.fr|||not provided|||Provence-Alpes-Côte d'Azur|||not provided|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ports, logistique et transports maritimes
AGILTECH|||https://www.agiltech.fr/|||contact@agiltech.fr|||not provided|||Marseille|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
AGIR|||http://agir-ingenierie.fr|||contact@agir-ingenierie.fr|||Provence-Alpes-Côte d'Azur|||Suresnes|||PME|||Naval et nautisme---Ressources énergétiques et minières marines
AIGA SAS|||not provided|||not provided|||not provided|||not provided|||not provided|||Naval et nautisme---Ports, logistique et transports maritimes
AIRBUS|||http://www.airbus.com|||not provided|||not provided|||Blagnac|||not provided|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ports, logistique et transports maritimes
Airstar Aerospace|||https://airstar.aero/|||not provided|||not provided|||not provided|||not provided|||Naval et nautisme---Ressources énergétiques et minières marines---Ports, logistique et transports maritimes
ALIERYS|||http://www.alierys.com|||contact@alierys.com|||Provence-Alpes-Côte d'Azur|||Valbonne---Sophia-Antipolis|||PME|||Naval et nautisme---Ressources énergétiques et minières marines---Ports, logistique et transports maritimes
ALLAIS|||http://www.chantiersallais.fr|||not provided|||not provided|||Cherbourg-en-Cotentin|||not provided|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
ALSEAMAR|||https://www.alseamar-alcen.com/|||not provided|||Provence-Alpes-Côte d'Azur|||Rousset|||Groupe|||Naval et nautisme---Ressources énergétiques et minières marines---Environnement et valorisation du littoral
ALWENA SHIPPING|||https://alwenashipping.com/|||info@alwenashipping.com|||not provided|||Marseille|||PME|||Naval et nautisme---Ressources énergétiques et minières marines---Ports, logistique et transports maritimes
Andromède Océanologie|||https://www.andromede-ocean.com/|||pierre.descamp@andromede-ocean.com|||Languedoc-Roussillon-Midi-Pyrénées|||Mauguio|||PME|||Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral
ANTARES INGENIERIE|||http://www.antares-ing.fr|||contact@antares-ing.fr|||Provence-Alpes-Côte d'Azur|||Marseille|||PME|||Naval et nautisme---Ressources énergétiques et minières marines---Environnement et valorisation du littoral
APPLISUB|||not provided|||info.applisub@gmail.com|||Provence-Alpes-Côte d'Azur|||Saint-Mandrier-sur-Mer|||PME|||Défense, Sécurité et sûreté maritimes---Environnement et valorisation du littoral
APSYS|||not provided|||franck.laroche@apsys.eads.net|||Provence-Alpes-Côte d'Azur|||not provided|||Groupe|||Ports, logistique et transports maritimes
AQMC|||http://www.aqmc.fr|||not provided|||Languedoc-Roussillon-Midi-Pyrénées|||Saint-Aunès|||PME|||Ressources biologiques marines
AQUALOG|||http://www.aqualog-international.com/|||sergecarle@aqualog.fr|||Provence-Alpes-Côte d'Azur|||La Seyne-sur-Mer|||PME|||Ressources biologiques marines
AQUATECH Innovation|||http://www.aquatech-innovation.com/|||contact@aquatech-innovation.com|||not provided|||Montpellier|||not provided|||Naval et nautisme---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
ARCHITEUTHIS|||not provided|||Architeuthisreef@aol.com|||Provence-Alpes-Côte d'Azur|||Marseille|||PME|||Ressources biologiques marines
ARDIUM|||http://ardium.fr/|||ardium.sas@gmail.com|||Provence-Alpes-Côte d'Azur|||Marseille|||Ecosystème|||Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
AREVA|||http://www.sa.areva.com/|||not provided|||Provence-Alpes-Côte d'Azur|||not provided|||Groupe|||Naval et nautisme---Ressources énergétiques et minières marines---Ports, logistique et transports maritimes
ARKOLIA ENERGIES|||http://www.arkolia-energies.fr|||contact@arkolia-energies.com|||Languedoc-Roussillon-Midi-Pyrénées|||Mudaison|||PME|||Ressources énergétiques et minières marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
ARMINES / Ecole des Mines|||https://www.armines.net/fr|||contact@gemtech.fr|||Ile-de-France|||Paris|||Centre de recherche et de formation|||Ports, logistique et transports maritimes
ARNIAUD CONSULTEAM|||http://consul-team.fr/|||F.ARNIAUD@CONSUL-TEAM.FR|||not provided|||Six-fours les plages---La Seyne-sur-Mer|||not provided|||Ports, logistique et transports maritimes
ARTWORK - PCB|||http://www.artwork-pcb.fr|||dsengphong@hotmail.com|||Provence-Alpes-Côte d'Azur|||Saint-Cyr-sur-Mer|||PME|||Naval et nautisme---Ressources énergétiques et minières marines
Asso RESEACLONS|||https://www.reseaclons.org/|||contact@reseaclons.org|||not provided|||Le Grau-du-Roi|||not provided|||Défense, Sécurité et sûreté maritimes---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
ASSYSTEM France/EXPLEO|||https://www.assystem.com/fr|||not provided|||not provided|||not provided|||Groupe|||Naval et nautisme---Ressources énergétiques et minières marines---Ports, logistique et transports maritimes
ASSYSTEM PACIFIQUE|||https://www.assystem.com/fr/assystem-dans-le-pacifique/|||not provided|||not provided|||not provided|||Groupe|||Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
ASTTRAL|||http://www.asttral.com|||vhuens@asttral.com|||Provence-Alpes-Côte d'Azur|||Marseille|||Ecosystème|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Environnement et valorisation du littoral
ATEM|||https://atem.com/fr/|||arnaud.sackda@atem.com|||Provence-Alpes-Côte d'Azur|||Solliès-Pont|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ports, logistique et transports maritimes
ATHANOR Egineering|||http://athanor-engineering.com/|||not provided|||not provided|||Paris|||PME|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Environnement et valorisation du littoral
ATOS INTEGRATION|||https://atos.net/fr/|||christian.valle@atos.net|||Provence-Alpes-Côte d'Azur|||not provided|||Groupe|||Défense, Sécurité et sûreté maritimes---Naval et nautisme
AUDENSIEL|||http://audensiel.com/|||not provided|||not provided|||not provided|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ports, logistique et transports maritimes
AVENAO|||http://www.avenao.com|||marketing@avenao.com|||Ile-de-France|||Montigny-le-Bretonneux|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
AVIELEC|||http://www.avielec.fr|||contact@avielec.fr|||Provence-Alpes-Côte d'Azur|||Miramas|||PME|||Naval et nautisme---Ressources énergétiques et minières marines
AVON COMMUNICATIONS|||http://www.avon-com.fr|||info@avon-com.fr|||Provence-Alpes-Côte d'Azur|||Marseille|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ports, logistique et transports maritimes
AZOTH Systèmes/EX BF Systèmes|||https://www.azoth-systems.com/|||contact@azoth-systems.com|||Provence-Alpes-Côte d'Azur|||Ollioules|||PME|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines
BANQUE POPULAIRE MEDITERRANEE|||https://www.mediterranee.banquepopulaire.fr/|||not provided|||Provence-Alpes-Côte d'Azur|||Valbonne|||Ecosystème|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
BARBEGER CONSULTING|||not provided|||not provided|||Provence-Alpes-Côte d'Azur|||not provided|||Ecosystème|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Environnement et valorisation du littoral
Bardot Group|||https://www.bardotgroup.com/|||nicolas.thiebaut@bardotgroup.com|||Provence-Alpes-Côte d'Azur|||La Ciotat|||PME|||Ressources énergétiques et minières marines
BAUMIER SA|||https://www.baumiersa.com/|||contact@baumiersa.com|||Provence-Alpes-Côte d'Azur|||La Garde|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ports, logistique et transports maritimes
BEHO ENSEIGNE CANDOCK|||http://www.candockfrance.fr|||contact@candockfrance.fr|||Provence-Alpes-Côte d'Azur|||La Seyne-sur-Mer|||PME|||Environnement et valorisation du littoral---Ports, logistique et transports maritimes
BIO-SEA|||https://www.bio-uv.com/|||contact@bio-uv.com|||Languedoc-Roussillon-Midi-Pyrénées|||not provided|||PME|||Naval et nautisme---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
BIOBAMB|||not provided|||not provided|||not provided|||not provided|||PME|||Environnement et valorisation du littoral
BIOCEANOR|||https://www.bioceanor.com/|||contact@bioceanor.com|||Provence-Alpes-Côte d'Azur|||Valbonne|||PME|||Ressources biologiques marines---Environnement et valorisation du littoral
Biodiv-Wind SAS|||https://www.biodiv-wind.com/|||contact@biodiv-wind.com|||Languedoc-Roussillon-Midi-Pyrénées|||Béziers|||PME|||Ressources énergétiques et minières marines
BIOMARINE|||https://biomarine.org/|||contact@biomarine.org|||Provence-Alpes-Côte d'Azur|||not provided|||PME|||Défense, Sécurité et sûreté maritimes---Ressources biologiques marines
Biotope|||https://www.biotope.fr/|||grandsud@biotope.fr|||Languedoc-Roussillon-Midi-Pyrénées|||Mèze|||PME|||Environnement et valorisation du littoral
BITD PROVEN|||not provided|||not provided|||not provided|||not provided|||not provided|||Défense, Sécurité et sûreté maritimes
BNP Paribas|||https://group.bnpparibas/|||patrick.walzer@bnpparibas.com|||Provence-Alpes-Côte d'Azur|||not provided|||Ecosystème|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Ressources biologiques marines---Ports, logistique et transports maritimes
BOARDING RING READING|||http://www.boardingring.com/|||hjeannin@boardingring.com|||Provence-Alpes-Côte d'Azur|||Ollioules|||PME|||Naval et nautisme---Ressources énergétiques et minières marines
BOURBON Offshore GAIA|||https://www.bourbonoffshore.com/fr|||patrick.belenfant@bourbon-online.com|||Provence-Alpes-Côte d'Azur|||Marseille|||Groupe|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines
BRGM-BUREAU DES RECHERCHES GEOLOGIQUES ET MINIERES|||https://brgm.fr/|||d.dessandier@brgm.fr|||Provence-Alpes-Côte d'Azur|||not provided|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes---Environnement et valorisation du littoral
BRL Ingénierie|||https://brli.brl.fr/|||gilles.rocquelain@brl.fr|||Languedoc-Roussillon-Midi-Pyrénées|||Nîmes|||Groupe|||Naval et nautisme---Ressources énergétiques et minières marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
BSB Marine|||https://www.oscar-system.com|||contact@bsb-marine.com|||not provided|||La Forêt-Fouesnant|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Environnement et valorisation du littoral
BUYCO FOR GROWTH|||http://www.buycoforgrowth.com/|||info@buyco.co|||Provence-Alpes-Côte d'Azur|||not provided|||PME|||Ports, logistique et transports maritimes
C2MA|||https://c2ma.mines-ales.fr/|||eric.garcia-diaz@mines-ales.fr|||Languedoc-Roussillon-Midi-Pyrénées|||not provided|||Centre de recherche et de formation|||Environnement et valorisation du littoral
Cabinet d'avocat JurisBonis|||https://www.jurisbonis-avocat.fr/|||m.bonis@jurisbonis-avocat.fr|||Provence-Alpes-Côte d'Azur|||not provided|||Ecosystème|||Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral
Cabinet Germain Maureau|||https://germainmaureau.com/|||maximin.salles@germainmaureau.com|||not provided|||Lyon|||Ecosystème|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
CANNES AQUACULTURE|||not provided|||s.charvoz@bluemail.ch|||Provence-Alpes-Côte d'Azur|||Cannes|||PME|||Ressources biologiques marines---Environnement et valorisation du littoral
CAP INGELEC|||https://www.capingelec.com/|||capingelec13@capingelec.com|||not provided|||not provided|||PME|||Naval et nautisme---Ports, logistique et transports maritimes
CAPSIM|||http://capsimulation.com/|||contact@capsimulation.com|||Provence-Alpes-Côte d'Azur|||Meyrargues|||PME|||Naval et nautisme---Ressources énergétiques et minières marines
CDC Biodiversité|||http://www.cdc-biodiversite.fr/|||not provided|||Ile-de-France|||Paris|||Ecosystème|||Environnement et valorisation du littoral
CEA Tech|||http://www.cea-tech.fr|||valentina.vetere@cea.fr|||not provided|||Grenoble---Gif-sur-Yvette|||not provided|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
CEFREM - Université de Perpignan|||https://www.univ-perp.fr/|||lenfant@univ-perp.fr|||Languedoc-Roussillon-Midi-Pyrénées|||Perpignan|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral
Cegelec Défense et Naval Sud Est|||https://www.vinci-energies.com/cegelec|||herve.belivier@cegelec.com|||Provence-Alpes-Côte d'Azur|||Toulon|||Groupe|||Naval et nautisme---Ports, logistique et transports maritimes
CEMATER|||http://www.cemater.com|||not provided|||Languedoc-Roussillon-Midi-Pyrénées|||Montpellier|||Ecosystème|||Ressources énergétiques et minières marines
Centrale Marseille|||https://www.centrale-marseille.fr/|||bernard.molin@ec-marseille.fr|||Provence-Alpes-Côte d'Azur|||Marseille|||Centre de recherche et de formation|||Naval et nautisme---Ressources énergétiques et minières marines
Centre d'Ecologie Fonctionnelle et Evolutive|||http://www.cefe.cnrs.fr|||Direction@cefe.cnrs.fr|||Languedoc-Roussillon-Midi-Pyrénées|||Montpellier|||Centre de recherche et de formation|||Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral
Centre de Droit Maritime et des Transports|||https://facdedroit.univ-amu.fr/cdmt|||cyril.bloch@univ-amu.fr|||Provence-Alpes-Côte d'Azur|||Aix-en-Provence|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Ports, logistique et transports maritimes
Centre de recherche sur les Risques et les Crises / Ecole des Mines de Paris|||http://www.mines-paristech.fr/|||Aldo.Napoli@crc.ensmp.fr|||Provence-Alpes-Côte d'Azur|||not provided|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes
